epoch,year,title,episode,leecher,size,path,tags
Studio Ghibli,1988,Grave of the Fireflies~Hotaru no Haka,2,[NoobSubs] ,4442544954,/home/pi/Videos/movies/Studio Ghibli/(1988) Grave of the Fireflies~Hotaru no Haka (720p Blu-ray 8bit Dual Audio) [NoobSubs] [3E904CC4].mkv,1 3 5
Studio Ghibli,1988,My Neighbour Totoro~Tonari no Totoro,3,[NoobSubs] ,4225440988,/home/pi/Videos/movies/Studio Ghibli/(1988) My Neighbour Totoro~Tonari no Totoro (720p Blu-ray 8bit Dual Audio) [NoobSubs] [C2D8E0C5].mkv,1 3 5
Studio Ghibli,1989, Kiki's Delivery Service~Majo no Takkyuubin ,4,[NoobSubs] ,5202772876,/home/pi/Videos/movies/Studio Ghibli/(1989) Kiki's Delivery Service~Majo no Takkyuubin (720p Blu-ray 8bit Dual Audio) [NoobSubs] [8B7E1A0A].mkv,1 3 5
Studio Ghibli,1991, Only Yesterday~Omoide Poroporo,5,[NoobSubs] ,5420713577,/home/pi/Videos/movies/Studio Ghibli/(1991) Only Yesterday~Omoide Poroporo (720p Blu-ray 8bit AAC) [NoobSubs] [9502069B].mkv,1 3 5
Studio Ghibli,1992,Porco Rosso~Kurenai no Buta,6,[NoobSubs] ,4492285607,/home/pi/Videos/movies/Studio Ghibli/(1992) Porco Rosso~Kurenai no Buta (720p Blu-ray 8bit Dual Audio) [NoobSubs] [5F2E500A].mkv,1 3 5
Studio Ghibli,1993,Ocean Waves~Umi ga Kikoeru,7,[NoobSubs] ,3338249091,/home/pi/Videos/movies/Studio Ghibli/(1993) Ocean Waves~Umi ga Kikoeru (720p Blu-ray 8bit AAC) [NoobSubs] [55E7E915].mkv,1 3 5
Studio Ghibli,1994,Pom Poko~Heisei Tanuki Gassen Ponpoko,8,[NoobSubs] ,4743136510,/home/pi/Videos/movies/Studio Ghibli/(1994) Pom Poko~Heisei Tanuki Gassen Ponpoko (720p Blu-ray 8bit Dual Audio) [NoobSubs] [AC83CD6F].mkv,1 3 5
Studio Ghibli,1995,Whisper of the Heart~Mimi o Sumaseba,9,[NoobSubs] ,3273140074,/home/pi/Videos/movies/Studio Ghibli/(1995) Whisper of the Heart~Mimi o Sumaseba (720p Blu-ray 8bit Dual Audio) [NoobSubs] [A95256EC].mkv,1 3 5
Studio Ghibli,1997,Princess Mononoke~Mononoke Hime,10,[NoobSubs] ,5234889688,/home/pi/Videos/movies/Studio Ghibli/(1997) Princess Mononoke~Mononoke Hime (720p Blu-ray 8bit Dual Audio) [NoobSubs] [8E2F16C6].mkv,1 3 5
Studio Ghibli,1999,My Neighbors the Yamadas~Houhokekyo Tonari no Yamada-kun,11,[NoobSubs] ,2837211160,/home/pi/Videos/movies/Studio Ghibli/(1999) My Neighbors the Yamadas~Houhokekyo Tonari no Yamada-kun (720p Blu-ray 8bit Dual Audio) [NoobSubs] [A3EB8740].mkv,1 3 5
